Postcode,State,Name,Type,Lat,Lng
0800,NT,DARWIN,Delivery Area,-12.461497,130.844989
0810,NT,ALAWA,Delivery Area,-12.651300000000001,130.92839000000001
0810,NT,BRINKIN,Delivery Area,-12.651300000000001,130.92839000000001
0810,NT,CASUARINA,Delivery Area,-12.651300000000001,130.92839000000001
0810,NT,COCONUT GROVE,Delivery Area,-12.651300000000001,130.92839000000001
0810,NT,JINGILI,Delivery Area,-12.651300000000001,130.92839000000001
0810,NT,LEE POINT,Delivery Area,-12.651300000000001,130.92839000000001
0810,NT,LYONS,Delivery Area,-12.651300000000001,130.92839000000001
0810,NT,MILLNER,Delivery Area,-12.651300000000001,130.92839000000001
0810,NT,MOIL,Delivery Area,-12.651300000000001,130.92839000000001
0810,NT,MUIRHEAD,Delivery Area,-12.651300000000001,130.92839000000001
0810,NT,NAKARA,Delivery Area,-12.651300000000001,130.92839000000001
0810,NT,NIGHTCLIFF,Delivery Area,-12.651300000000001,130.92839000000001
0810,NT,RAPID CREEK,Delivery Area,-12.651300000000001,130.92839000000001
0810,NT,TIWI,Delivery Area,-12.651300000000001,130.92839000000001
0810,NT,WAGAMAN,Delivery Area,-12.651300000000001,130.92839000000001
0810,NT,WANGURI,Delivery Area,-12.651300000000001,130.92839000000001
0812,NT,ANULA,Delivery Area,-12.378665,130.90818300000001
0812,NT,BUFFALO CREEK,Delivery Area,-12.378665,130.90818300000001
0812,NT,HOLMES,Delivery Area,-12.378665,130.90818300000001
0812,NT,KARAMA,Delivery Area,-12.378665,130.90818300000001
0812,NT,LEANYER,Delivery Area,-12.378665,130.90818300000001
0812,NT,MALAK,Delivery Area,-12.378665,130.90818300000001
0812,NT,MARRARA,Delivery Area,-12.378665,130.90818300000001
0812,NT,NORTHLAKES,Delivery Area,-12.378665,130.90818300000001
0812,NT,SANDERSON,Delivery Area,-12.378665,130.90818300000001
0812,NT,WOODLEIGH GARDENS,Delivery Area,-12.378665,130.90818300000001
0812,NT,WULAGI,Delivery Area,-12.378665,130.90818300000001
0820,NT,BAGOT,Delivery Area,-12.422817999999999,130.86774700000001
0820,NT,BAYVIEW,Delivery Area,-12.422817999999999,130.86774700000001
0820,NT,CHARLES DARWIN,Delivery Area,-12.422817999999999,130.86774700000001
0820,NT,COONAWARRA,Delivery Area,-12.422817999999999,130.86774700000001
0820,NT,CULLEN BAY,Delivery Area,-12.422817999999999,130.86774700000001
0820,NT,DARWIN DC,Delivery Area,-12.422817999999999,130.86774700000001
0820,NT,DARWIN INTERNATIONAL AIRPORT,Delivery Area,-12.422817999999999,130.86774700000001
0820,NT,DARWIN MC,Delivery Area,-12.422817999999999,130.86774700000001
0820,NT,EAST POINT,Delivery Area,-12.422817999999999,130.86774700000001
0820,NT,EATON,Delivery Area,-12.422817999999999,130.86774700000001
0820,NT,FANNIE BAY,Delivery Area,-12.422817999999999,130.86774700000001
0820,NT,LARRAKEYAH,Delivery Area,-12.422817999999999,130.86774700000001
0820,NT,LUDMILLA,Delivery Area,-12.422817999999999,130.86774700000001
0820,NT,PARAP,Delivery Area,-12.422817999999999,130.86774700000001
0820,NT,RAAF BASE DARWIN,Delivery Area,-12.422817999999999,130.86774700000001
0820,NT,STUART PARK,Delivery Area,-12.422817999999999,130.86774700000001
0820,NT,THE GARDENS,Delivery Area,-12.422817999999999,130.86774700000001
0820,NT,THE NARROWS,Delivery Area,-12.422817999999999,130.86774700000001
0820,NT,WINNELLIE,Delivery Area,-12.422817999999999,130.86774700000001
0820,NT,WOOLNER,Delivery Area,-12.422817999999999,130.86774700000001
0828,NT,BERRIMAH,Delivery Area,-12.426505000000001,130.94859099999999
0828,NT,KNUCKEY LAGOON,Delivery Area,-12.426505000000001,130.94859099999999
0829,NT,HOLTZE,Delivery Area,-12.452227000000001,131.00914800000001
0829,NT,PINELANDS,Delivery Area,-12.452227000000001,131.00914800000001
